,Player Name,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
0,Lebron James,1181,27.1,7.4,7.2,50.4,34.4,73.7,54.1,27.6,224.5
1,Kobe Bryant,1346,25.0,5.2,4.7,44.7,32.9,83.7,48.2,22.9,172.7
2,Tim Duncan,1392,19.0,10.8,3.0,50.6,17.9,69.6,50.7,24.2,206.4
3,Kevin Garnett,1462,17.8,10.0,3.7,49.7,27.5,78.9,50.1,22.7,191.4
4,Steve Nash,1217,14.3,3.0,8.5,49.0,42.8,90.4,55.6,20.0,129.7
5,Jason Kidd,1391,12.6,6.3,8.7,40.0,34.9,78.5,46.4,17.9,138.6
6,Chris Paul,925,18.6,4.5,9.7,47.1,37.1,86.7,51.8,25.4,168.1
7,Kevin Durant,826,27.2,7.1,4.1,49.1,38.3,88.3,54.1,25.3,138.7
8,Dirk Nowitzki,1496,20.9,7.6,2.4,47.2,38.2,87.9,51.3,22.6,206.2
9,James Harden,740,24.0,5.2,6.2,44.3,36.5,85.6,52.4,24.3,117.1
10,Tracy McGrady,938,19.6,5.6,4.4,43.5,33.8,74.6,47.0,22.1,97.3
11,Russell Westbrook,796,22.9,6.9,8.4,43.4,30.6,80.5,46.3,23.7,94.0
12,Dwyane Wade,1027,22.1,4.7,5.4,48.1,29.0,76.5,49.6,23.6,119.8
13,Dwight Howard,1044,17.4,12.6,1.5,58.3,9.5,56.7,58.3,21.6,128.9
14,Stephen Curry,669,23.5,4.5,6.7,47.8,43.7,90.4,58.2,23.9,100.3
