,Player Name,Hall Of Fame,All Star,Scoring Champ,AST Champ,STL Champ,TRB Champ,BLK Champ,NBA Champ,All-NBA,All-Defensive,ABA All-Time Team,All-ABA,All-Defensive,All-Rookie,Most Improved,AS MVP,Def. POY,Finals MVP,MVP,Sixth Man,ROY
0,Lebron James,0,15,1,0,0,0,0,3,14,6,0,0,6,1,0,3,0,3,4,0,1
1,Kobe Bryant,0,18,2,0,0,0,0,5,15,12,0,0,12,1,0,4,0,2,1,0,0
2,Tim Duncan,0,15,0,0,0,0,0,5,15,15,0,0,15,1,0,1,0,3,2,0,1
3,Kevin Garnett,0,15,0,0,0,4,0,1,9,12,0,0,12,1,0,1,1,0,1,0,0
4,Steve Nash,1,8,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0
5,Jason Kidd,1,10,0,5,0,0,0,1,6,9,0,0,9,1,0,0,0,0,0,0,1
6,Chris Paul,0,9,0,4,6,0,0,0,8,9,0,0,9,1,0,1,0,0,0,0,1
7,Kevin Durant,0,10,4,0,0,0,0,2,8,0,0,0,0,1,0,1,0,2,1,0,1
8,Dirk Nowitzki,0,14,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,1,1,0,0
9,James Harden,0,7,1,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,1,0
10,Tracy McGrady,1,7,2,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
11,Russell Westbrook,0,8,2,1,0,0,0,0,7,0,0,0,0,1,0,2,0,0,1,0,0
12,Dwyane Wade,0,13,1,0,0,0,0,3,8,3,0,0,3,1,0,1,0,1,0,0,0
13,Dwight Howard,0,8,0,0,0,5,2,0,8,5,0,0,5,1,0,0,3,0,0,0,0
14,Stephen Curry,0,6,1,0,1,0,0,3,5,0,0,0,0,1,0,0,0,0,2,0,0
